CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI,Campaign_Duration,CTR,Conversion_Rate,Lead_Rate,CPC,CPA
CAMP00001,2025-04-13,2025-04-19,Search,293520,23335,11643,5389,1052.39,2236.02,112.47066201693285,6,7.950054510765876,23.094064709663595,49.89500749946432,0.04509920719948576,0.19528483948784564
CAMP00002,2025-12-15,2025-12-24,Search,200340,15841,6601,2498,3964.9,11740.15,196.10204544881333,9,7.9070580013976235,15.7692064894893,41.67034909412284,0.250293542074364,1.5872297838270617
CAMP00003,2025-09-28,2025-10-06,Email,239365,16478,8043,3397,1000.39,1902.24,90.1498415617909,8,6.884047375347273,20.615365942468745,48.81053525913339,0.060710644495691225,0.2944921989991169
CAMP00004,2025-04-17,2025-04-30,Search,156382,2672,1014,342,1252.63,2209.74,76.40803748912285,13,1.7086365438477573,12.79940119760479,37.949101796407184,0.4687986526946108,3.6626608187134506
CAMP00005,2025-03-13,2025-03-22,Influencer,285472,4155,1521,565,4935.48,14111.31,185.91565562012207,9,1.4554842506445465,13.598074608904934,36.60649819494585,1.1878411552346568,8.735362831858406
CAMP00006,2025-07-08,2025-07-21,Social,177469,7979,3231,1446,3540.34,3885.94,9.761774292864525,13,4.495996483892962,18.12257175084597,40.49379621506454,0.44370723148264196,2.4483679114799446
CAMP00007,2025-01-21,2025-02-05,Display,174231,2160,379,107,1999.53,3306.37,65.35735897936014,15,1.2397334573066792,4.953703703703704,17.546296296296298,0.9257083333333334,18.687196261682242
CAMP00008,2025-04-13,2025-04-26,Display,234598,21435,9052,2295,3793.91,7159.09,88.69952107456425,13,9.136906537992651,10.706787963610918,42.22999766736646,0.17699603452297644,1.653119825708061
CAMP00009,2025-05-02,2025-05-08,Influencer,209438,2474,1207,697,2385.72,2800.53,17.387203862984776,6,1.181256505505209,28.172999191592563,48.78738884397736,0.9643168957154405,3.422840746054519
CAMP00010,2025-08-03,2025-08-16,Search,195376,2474,852,251,1142.07,2323.19,103.41922999465885,13,1.2662763082466628,10.145513338722715,34.438156831042846,0.46162894098625706,4.5500796812749
CAMP00011,2025-11-27,2025-12-04,Social,53998,1343,140,55,2491.07,4360.88,75.06051616373685,7,2.48712915293159,4.095309009679822,10.424422933730455,1.854854802680566,45.292181818181824
CAMP00012,2025-03-29,2025-04-06,Search,107304,7128,918,463,3882.92,7276.43,87.39582582180422,8,6.642809214940729,6.495510662177328,12.878787878787879,0.5447418630751965,8.386436285097192
